Drug,Accession,CID
Diphenyl Ether Sulfonamide 8,P29466,23645972
CHEMBL173528,P29466,44384790
CHEMBL101141,P29466,44332050
valine aspartyl ketone 34,P29466,23645255
CHEMBL100788,P29466,44331816
Diphenyl Ether Sulfonamide 4,P29466,23645970
CHEMBL100643,P29466,44331915
CHEMBL321546,P29466,44331739
Diphenyl Ether Sulfonamide 13,P29466,23645974
CHEMBL354612,P29466,10074552
CHEMBL168816,P29466,23645307
Diphenyl Ether Sulfonamide 7,P29466,15888286
CHEMBL226881,P29466,16749163
CHEMBL318312,P29466,44332108
CHEMBL390932,P29466,16749069
Diphenyl Ether Sulfonamide 11,P29466,23645973
CHEMBL34031,P29466,9827540
CHEMBL212809,P29466,44414311
CHEMBL80739,P29466,44315971
CHEMBL281745,P29466,44279760
CHEMBL1222686,P29466,46934568
CHEMBL327298,P29466,44331977
CHEMBL6847,P29466,13688814
Cyclohexadienedione,P29466,4650
valine aspartyl ketone 19,P29466,23645243
valine aspartyl ketone 6,P29466,23645230
CHEMBL27430,P29466,44276529
CHEMBL101108,P29466,44331876
CHEMBL513297,P29466,44158328
CHEMBL318791,P29466,44331933
CHEMBL226828,P29466,16749162
CHEMBL516251,P29466,42618288
CHEMBL387556,P29466,16749271
CHEMBL26377,P29466,44276407
CHEMBL599024,P29466,45379520
CHEMBL1222835,P29466,49865025
CHEMBL90915,P29466,44324148
CHEMBL29601,P29466,44280119
Diphenyl Ether Sulfonamide 9,P29466,15888283
CHEMBL167882,P29466,9939287
CHEMBL492060,P29466,42618281
CHEMBL427284,P29466,16749164
CHEMBL103592,P29466,44332024
CHEMBL6551,P29466,44264332
valine aspartyl ketone 17,P29466,23645241
CHEMBL519148,P29466,42618278
valine aspartyl ketone 16,P29466,23645240
CHEMBL476023,P29466,42618289
CHEMBL168065,P29466,9939773
CHEMBL490850,P29466,42618285
valine aspartyl ketone 28,P29466,23645251
CHEMBL523131,P29466,42618284
CHEMBL197926,P29466,44404931
CHEMBL1222905,P29466,49865079
CHEMBL1222833,P29466,49865023
CHEMBL477047,P29466,42618291
CHEMBL477659,P29466,42618292
valine aspartyl ketone 32,P29466,23645254
CHEMBL101545,P29466,44331914
CHEMBL167670,P29466,10031194
Pyridine Analogue 20,P29466,11509300
Pyridine Analogue 23,P29466,11509301
CHEMBL200927,P29466,11712912
CHEMBL268454,P29466,15895230
CHEMBL6582,P29466,44264306
Grassystatin A,P29466,44255320
CHEMBL6791,P29466,12085099
CHEMBL101684,P29466,44332120
Diphenyl Ether Sulfonamide 14,P29466,23645975
CHEMBL318295,P29466,44332121
CHEMBL68669,P29466,22881952
Diphenyl Ether Sulfonamide 15,P29466,23645976
CHEMBL521972,P29466,42618283
CHEMBL490851,P29466,42618286
valine aspartyl ketone 33,P29466,9851279
CHEMBL396625,P29466,44438441
CHEMBL6423,P29466,9795859
CHEMBL590028,P29466,45379731
CHEMBL602331,P29466,45379630
CHEMBL69576,P29466,44309578
CHEMBL436989,P29466,16749270
valine aspartyl ketone 9,P29466,23645233
CHEMBL308921,P29466,22881958
CHEMBL202329,P29466,44407017
CHEMBL1222755,P29466,49864963
CHEMBL1222687,P29466,49864924
Diphenyl Ether Sulfonamide 6,P29466,23645971
CHEMBL100933,P29466,44331964
valine aspartyl ketone 31,P29466,23645253
CHEMBL1221596,P29466,49864362
valine aspartyl ketone 27,P29466,9807028
CHEMBL226779,P29466,16749269
CHEMBL1222617,P29466,49864883
CHEMBL1222834,P29466,49865024
Diphenyl Ether Sulfonamide 5,P29466,15888282
CHEMBL352554,P29466,23645309
valine aspartyl ketone 12,P29466,23645236
CHEMBL492061,P29466,42618282
CHEMBL317782,P29466,44332109
CHEMBL387041,P29466,11548424
CHEMBL71890,P29466,44309778
CHEMBL597995,P29466,45379629
CHEMBL30730,P29466,44279778
CHEMBL1222906,P29466,49865080
CHEMBL433416,P29466,44331908
CHEMBL1222685,P29466,49864923
CHEMBL307573,P29466,44309579
CHEMBL1222757,P29466,49864965
CHEMBL591239,P29466,45379631
CHEMBL1223107,P29466,49865249
Inhibitor 59,P29466,5327305
Biphenyl Sulfonamide 1,P29466,10449481
CHEMBL101714,P29466,44331693
valine aspartyl ketone 25,P29466,23645249
CHEMBL425849,P29466,44384818
CHEMBL1222616,P29466,49864882
"L-alaninamide, N-acetyl-L-valyl-N-[(1S)-2-carboxy-1-formylethyl]-",P29466,644194
CHEMBL100405,P29466,44331943
Azetidine Isatin Analogue 17,P29466,11624920
Azetidine Isatin Analogue 18e,P29466,11583840
valine aspartyl ketone 10,P29466,23645234
CHEMBL100741,P29466,44331676
Azetidine Isatin Analogue 18a,P29466,11509289
valine aspartyl ketone 23,P29466,23645247
CHEMBL521801,P29466,42618279
CHEMBL6473,P29466,44264309
Azetidine Isatin Analogue 18f,P29466,11634372
CHEMBL478694,P29466,42618293
CHEMBL510809,P29466,42618290
1-[(4-iodophenyl)methyl]-5-[(2S)-2-(methoxymethyl)pyrrolidin-1-yl]sulfonyl,P29466,11444079
Isatin Sulfonamide 29,P29466,9821545
Azetidine Isatin Analogue 18i,P29466,11525874
valine aspartyl ketone 26,P29466,23645250
valine aspartyl ketone 11,P29466,23645235
1-[(4-methoxyphenyl)methyl]-5-[(2S)-2-(phenoxymethyl)pyrrolidin-1-yl]sulfo,P29466,9914167
CHEMBL492059,P29466,42618280
valine aspartyl ketone 7,P29466,23645231
valine aspartyl ketone 18,P29466,23645242
CHEMBL317530,P29466,44331966
NSCI,P29466,11591540
valine aspartyl ketone 8,P29466,23645232
Pyridine Analogue 21a,P29466,11647018
Azetidine Isatin Analogue 18b,P29466,11496333
Pyridine Analogue 21e,P29466,11705942
valine aspartyl ketone 22,P29466,23645246
valine aspartyl ketone 20,P29466,23645244
"isatin sulfonamide, 16a",P29466,42618287
valine aspartyl ketone 13,P29466,23645237
Pyridine Analogue 21b,P29466,11576540
CHEMBL217777,P29466,11510566
Isatin Sulfonamide 34,P29466,9847835
"isatin sulfonamide, 10a",P29466,42618277
CHEMBL329917,P29466,44325934
CHEMBL591432,P29466,45379632
CHEMBL600458,P29466,45379732
Inhibitor 66a,P29466,5327308
arylsulfonamide analogue 13,P29466,23645964
CHEMBL202596,P29466,44407128
CHEMBL1222758,P29466,49864966
CHEMBL31785,P29466,44280036
CHEMBL73653,P29466,44314079
CHEMBL78028,P29466,44315681
CHEMBL380787,P29466,44407111
CHEMBL201919,P29466,44407042
CHEMBL285320,P29466,44276518
CHEMBL266661,P29466,15895228
arylsulfonamide analogue 18,P29466,23645968
CHEMBL101341,P29466,44331967
CHEMBL168847,P29466,23645308
CHEMBL201867,P29466,44407139
CHEMBL77345,P29466,44315615
Diphenyl Ether Sulfonamide 2,P29466,15888281
CHEMBL376112,P29466,16749267
Isatin Sulfonamide 16,P29466,9840223
CHEMBL216447,P29466,11591919
CHEMBL227036,P29466,16749268
CHEMBL227035,P29466,16749068
CHEMBL1222907,P29466,49865081
CHEMBL202577,P29466,44407152
CHEMBL30664,P29466,44280088
CHEMBL30360,P29466,15384596
Inhibitor 69b,P29466,5327310
CHEMBL201973,P29466,44407123
Diphenyl Ether Sulfonamide 3,P29466,23645969
CHEMBL6521,P29466,44264305
CHEMBL90840,P29466,44324179
arylsulfonamide analogue 15,P29466,23645966
valine aspartyl ketone 24,P29466,23645248
Inhibitor 66b,P29466,5327309
CHEMBL319251,P29466,44331963
valine aspartyl ketone 21,P29466,23645245
MSI,P29466,5288850
CHEMBL30847,P29466,10248513
CHEMBL302041,P29466,22881953
valine aspartyl ketone 15,P29466,23645239
CHEMBL30902,P29466,44279876
Inhibitor 4,P29466,5327304
CHEMBL92442,P29466,44323820
CHEMBL30411,P29466,44280035
Diphenyl Ether Sulfonamide 17,P29466,23645978
CHEMBL216819,P29466,11515586
ZINC06658375,P29466,8027611
"isatin sulfonamide, 9c",P29466,42618276
CHEMBL215480,P29466,11598106
CHEMBL1222756,P29466,49864964
CHEMBL31933,P29466,44279743
CHEMBL166472,P29466,11755713
CHEMBL419260,P29466,10000969
CHEMBL30626,P29466,44279764
CHEMBL202052,P29466,44407122
CHEMBL1222618,P29466,49864884
CHEMBL91071,P29466,44323993
CHEMBL1222684,P29466,49864922
CHEMBL100927,P29466,44332028
CHEMBL112464,P29466,44341482
CHEMBL1222973,P29466,49865141
arylsulfonamide analogue 14,P29466,23645965
arylsulfonamide analogue 17,P29466,23645967
arylsulfonamide analogue 16,P29466,15888284
CHEMBL26027,P29466,44276517
CHEMBL100578,P29466,44332029
CHEMBL1222545,P29466,49864838
Inhibitor 64b,P29466,5327307
CHEMBL1222832,P29466,49865022
CHEMBL213759,P29466,11533935
Azetidine Isatin Analogue 18d,P29466,11497112
Azetidine Isatin Analogue 18g,P29466,11619968
CHEMBL200476,P29466,11512139
CHEMBL200220,P29466,11519268
Azetidine Isatin Analogue 18h,P29466,11576622
CHEMBL373012,P29466,11584106
Pyridine Analogue 21d,P29466,11670894
CHEMBL372607,P29466,11576852
CHEMBL200653,P29466,11533326
CHEMBL372994,P29466,11634649
Azetidine Isatin Analogue 18c,P29466,11684618
CHEMBL423324,P29466,44341825
"5-pyrrolidin-1-ylsulfonyl-1H-indole-2,3-dione",P29466,4117381
CHEMBL1222971,P29466,49865139
arylsulfonamide analogue 11,P29466,15888279
CHEMBL31042,P29466,44280009
CHEMBL167557,P29466,18354276
CHEMBL6484,P29466,14450230
CHEMBL324150,P29466,44341685
CHEMBL90879,P29466,44323704
CHEMBL313999,P29466,44324063
CHEMBL217220,P29466,44417479
CHEMBL422379,P29466,18354256
CHEMBL6538,P29466,12085110
Inhibitor 47c,P29466,5327301
Isatin analog 1,P29466,515950
CHEMBL115598,P29466,44341826
CHEMBL1223036,P29466,49865193
CHEMBL116228,P29466,44341705
CHEMBL1222908,P29466,46933234
CHEMBL1222615,P29466,49864881
CHEMBL168471,P29466,10861643
CHEMBL1222972,P29466,49865140
Isatin analog 2,P29466,10826725
CHEMBL31139,P29466,44279762
CHEMBL6475,P29466,23320791
CHEMBL306324,P29466,44315614
CHEMBL308500,P29466,44316084
CHEMBL30415,P29466,44279668
CHEMBL80695,P29466,44316052
CHEMBL76565,P29466,44315663
CHEMBL80821,P29466,44316064
CHEMBL76972,P29466,44315737
CHEMBL1223037,P29466,49865194
Isatin Sulfonamide 26,P29466,9800285
CHEMBL168724,P29466,18354267
CHEMBL280979,P29466,44280034
CHEMBL434196,P29466,44279667
CHEMBL354101,P29466,18354287
arylsulfonamide analogue 7,P29466,23645962
arylsulfonamide analogue 10,P29466,23645963
CHEMBL281751,P29466,44279608
Inhibitor 62b,P29466,10963183
benzyloxycarbonyl (CBZ) analogue 5,P29466,23645961
CHEMBL32246,P29466,44279744
CHEMBL1223039,P29466,49865196
CHEMBL30719,P29466,44280089
CHEMBL166048,P29466,17871446
CHEMBL167544,P29466,18354265
CHEMBL165763,P29466,18354277
CHEMBL382284,P29466,44407052
CHEMBL166476,P29466,17871463
CHEMBL88381,P29466,44323994
CHEMBL7086,P29466,44264266
CHEMBL6805,P29466,12085104
CHEMBL267835,P29466,44264544
CHEMBL268455,P29466,44264310
CHEMBL6581,P29466,13092389
CHEMBL6930,P29466,44264267
CHEMBL6734,P29466,44264570
CHEMBL77260,P29466,44315634
CHEMBL589551,P29466,45379836
Isatin Sulfonamide 27,P29466,9864930
CHEMBL456798,P29466,25179144
1-[(4-iodophenyl)methyl]-5-[(2S)-2-(phenoxymethyl)pyrrolidin-1-yl]sulfonyl,P29466,11548909
CHEMBL461248,P29466,25179143
CHEMBL516941,P29466,25179513
CHEMBL518382,P29466,25179145
CHEMBL516490,P29466,25179324
CHEMBL515661,P29466,25179140
CHEMBL461249,P29466,25178948
CHEMBL515506,P29466,25179514
CHEMBL456799,P29466,25179141
CHEMBL456592,P29466,25178949
CHEMBL456593,P29466,25178950
CHEMBL1223038,P29466,49865195
CHEMBL31140,P29466,44279609
CHEMBL31817,P29466,44279636
CHEMBL31053,P29466,44279696
CHEMBL30927,P29466,44279661
CHEMBL1223105,P29466,49865247
CHEMBL493374,P29466,44157085
CHEMBL523666,P29466,44157089
CHEMBL468088,P29466,44158240
CHEMBL493375,P29466,44157086
CHEMBL492385,P29466,44158154
CHEMBL513513,P29466,44158242
CHEMBL513663,P29466,44158325
CHEMBL512101,P29466,44158238
CHEMBL511723,P29466,44158157
CHEMBL494220,P29466,44157090
CHEMBL467252,P29466,44158326
CHEMBL385930,P29466,11699954
CHEMBL216071,P29466,11541867
CHEMBL467251,P29466,44158086
CHEMBL386464,P29466,11614728
CHEMBL386510,P29466,11628992
CHEMBL524017,P29466,44158089
CHEMBL521984,P29466,44157087
CHEMBL466422,P29466,44158155
CHEMBL466423,P29466,44158237
CHEMBL217821,P29466,11664423
CHEMBL217822,P29466,11700402
CHEMBL1222970,P29466,49865138
CHEMBL30983,P29466,44279666
CHEMBL30989,P29466,44279695
CHEMBL286893,P29466,44279649
CHEMBL330721,P29466,44324147
CHEMBL286945,P29466,44279683
CHEMBL30420,P29466,44279669
CHEMBL416941,P29466,44280008
CHEMBL167433,P29466,44379693
benzyloxycarbonyl (CBZ) analogue 3,P29466,23645960
CHEMBL1222544,P29466,49864837
CHEMBL1223106,P29466,49865248
CHEMBL167666,P29466,18354282
Eprosartan,P30556,60879
Eprosartan,P30556,5281037
Eprosartan,P30556,5281037
Eprosartan,P30556,60879
Losartan,P30556,3961
Candesartan,P30556,2541
Irbesartan,P30556,3749
Olmesartan,P30556,130881
Telmisartan,P30556,65999
VALSARTAN,P30556,60846
TASOSARTAN,P30556,60919
SPIRONOLACTONE/HYDROCHLOROTHIAZIDE,P30556,5833
Saprisartan,P30556,60921
Forasartan,P30556,132706
LS-44539,P30556,9843631
CHEMBL332576,P30556,10327309
CHEMBL138690,P30556,10032858
CHEMBL346728,P30556,9895212
CHEMBL265797,P30556,10417251
CHEMBL339672,P30556,10032820
CHEMBL341828,P30556,10349732
CHEMBL343309,P30556,10439848
CHEMBL307318,P30556,44311676
CHEMBL339722,P30556,10010071
CHEMBL70789,P30556,44311072
CHEMBL70843,P30556,44311073
CHEMBL70935,P30556,44311414
CHEMBL305238,P30556,44311580
CHEMBL69721,P30556,44311435
CHEMBL305017,P30556,44311455
CHEMBL70161,P30556,44311415
CHEMBL70370,P30556,44311434
CHEMBL24322,P30556,9829012
CHEMBL343142,P30556,10010195
CHEMBL341934,P30556,10439862
CHEMBL316300,P30556,9809961
CHEMBL140708,P30556,10395394
CHEMBL353037,P30556,44210588
CHEMBL124771,P30556,10032851
CHEMBL330533,P30556,10372093
CHEMBL339605,P30556,10372451
CHEMBL339256,P30556,10395335
CHEMBL435811,P30556,10395076
CHEMBL139452,P30556,10259411
CHEMBL332909,P30556,10462598
CHEMBL338101,P30556,10485116
CHEMBL94905,P30556,10326797
CHEMBL352771,P30556,44381724
CHEMBL353800,P30556,44381671
CHEMBL96075,P30556,10078663
CHEMBL316706,P30556,10009273
CHEMBL339004,P30556,10101608
CHEMBL338027,P30556,9853391
CHEMBL136465,P30556,10259395
CHEMBL98068,P30556,44327912
CHEMBL340632,P30556,10372659
CHEMBL97075,P30556,10417351
CHEMBL354779,P30556,44381413
ENOLTASOSARTAN,P30556,10365078
CHEMBL93907,P30556,10101284
CHEMBL169568,P30556,44381527
CHEMBL329616,P30556,14971704
CHEMBL169221,P30556,44210586
CHEMBL337118,P30556,10327537
CHEMBL331450,P30556,44348523
CHEMBL329290,P30556,44327913
CHEMBL352503,P30556,44381427
CHEMBL125008,P30556,10462933
CHEMBL433646,P30556,14971715
CHEMBL302964,P30556,44311289
CHEMBL303427,P30556,44311456
CHEMBL430792,P30556,44311581
CHEMBL311253,P30556,44311074
CHEMBL311625,P30556,44311412
CHEMBL71639,P30556,44311413
CHEMBL70868,P30556,44311582
CHEMBL73283,P30556,44311753
CHEMBL122917,P30556,10439837
CHEMBL71172,P30556,9918412
CHEMBL331507,P30556,10462683
MK 996,P30556,133031
CHEMBL308323,P30556,44311715
CHEMBL97332,P30556,10349512
CHEMBL105199,P30556,19939756
CHEMBL318605,P30556,44335530
CHEMBL350121,P30556,44377058
CHEMBL341369,P30556,10259468
CHEMBL328941,P30556,9895635
CHEMBL169967,P30556,44381402
CHEMBL435792,P30556,9987614
CHEMBL275552,P30556,10010234
CHEMBL334300,P30556,10100951
CHEMBL125280,P30556,10259447
CHEMBL329693,P30556,10326942
CHEMBL94145,P30556,10417102
CHEMBL122273,P30556,10101606
CHEMBL122380,P30556,10033136
CHEMBL169488,P30556,44381657
CHEMBL331455,P30556,10009984
CHEMBL120199,P30556,14971716
CHEMBL92654,P30556,14971706
CHEMBL338342,P30556,10440144
CHEMBL74476,P30556,9895984
CHEMBL341783,P30556,10372497
CHEMBL344597,P30556,10259657
CHEMBL353615,P30556,44210585
CHEMBL169968,P30556,44381403
CHEMBL168413,P30556,44210589
CHEMBL125231,P30556,10259489
CHEMBL338433,P30556,10078780
CHEMBL139041,P30556,10010207
CHEMBL95579,P30556,10416475
CHEMBL444065,P30556,10439819
CHEMBL168490,P30556,44210590
CHEMBL97446,P30556,9875044
CHEMBL339040,P30556,10439715
CHEMBL407919,P30556,10055534
CHEMBL70726,P30556,19430442
CHEMBL121872,P30556,11765560
CHEMBL339113,P30556,9987414
CHEMBL276674,P30556,9810305
CHEMBL71286,P30556,44311557
CHEMBL158795,P30556,44372744
CHEMBL70867,P30556,44311736
CHEMBL58291,P30556,44300826
CHEMBL343634,P30556,10439993
CHEMBL367569,P30556,44384389
CHEMBL329099,P30556,10326972
CHEMBL63998,P30556,9807029
CHEMBL306340,P30556,44311454
CHEMBL303647,P30556,44311537
CHEMBL309790,P30556,44311185
LS-193980,P30556,183134
CHEMBL302579,P30556,44311675
CHEMBL311018,P30556,44311752
CHEMBL411487,P30556,44328130
CHEMBL352629,P30556,44381552
CHEMBL316273,P30556,10054708
CHEMBL352947,P30556,44381553
CHEMBL302519,P30556,9917399
CHEMBL436396,P30556,10101351
CHEMBL352502,P30556,44381426
CHEMBL97394,P30556,10032342
CHEMBL93226,P30556,14971698
CHEMBL306638,P30556,19430462
CHEMBL317547,P30556,19939398
CHEMBL320222,P30556,10372718
CHEMBL352458,P30556,44381656
CHEMBL340078,P30556,10373120
CHEMBL340473,P30556,11765454
CHEMBL342492,P30556,10440203
CHEMBL328434,P30556,10349597
CHEMBL333224,P30556,10349897
CHEMBL338137,P30556,10101690
CHEMBL122158,P30556,10259525
CHEMBL169279,P30556,44381622
CHEMBL330464,P30556,44328276
CHEMBL307359,P30556,44311619
CHEMBL327191,P30556,10394995
CHEMBL173643,P30556,44384870
CHEMBL312301,P30556,44311683
CHEMBL329089,P30556,10326775
CHEMBL97020,P30556,10010047
CHEMBL69839,P30556,44311453
CHEMBL139325,P30556,10010311
CHEMBL338434,P30556,10032988
CHEMBL141592,P30556,10417144
CHEMBL316904,P30556,10078132
CHEMBL338889,P30556,10462573
CHEMBL342605,P30556,11765541
CHEMBL334145,P30556,14971720
CHEMBL97068,P30556,10077743
CHEMBL279629,P30556,9939191
CHEMBL97539,P30556,44328334
CHEMBL354080,P30556,9852499
CHEMBL327988,P30556,10349659
CHEMBL121907,P30556,10032877
CHEMBL122401,P30556,10259841
CHEMBL292150,P30556,9830680
CHEMBL90011,P30556,14971705
CHEMBL340367,P30556,44348153
CHEMBL74767,P30556,44312565
CHEMBL329942,P30556,10009968
CHEMBL90774,P30556,10325927
CHEMBL25585,P30556,44275095
CHEMBL307008,P30556,44311182
CHEMBL72595,P30556,44311452
CHEMBL74573,P30556,9940350
CHEMBL162148,P30556,44377125
CHEMBL338888,P30556,11765177
CHEMBL281386,P30556,14971714
CHEMBL123084,P30556,18950609
CHEMBL124903,P30556,10439858
CHEMBL332897,P30556,14971639
CHEMBL353980,P30556,44381425
CHEMBL342843,P30556,10032193
CHEMBL344387,P30556,10394829
CHEMBL122157,P30556,10417321
CHEMBL330165,P30556,10258694
CHEMBL316655,P30556,10438745
CHEMBL71125,P30556,19430475
CHEMBL73876,P30556,9874508
CHEMBL26614,P30556,44274855
CHEMBL316482,P30556,9960852
CHEMBL419073,P30556,44311618
CHEMBL72099,P30556,44311184
CHEMBL71220,P30556,19430479
CHEMBL71925,P30556,44309903
CHEMBL97465,P30556,10010027
CHEMBL74236,P30556,44311558
CHEMBL304065,P30556,44311617
CHEMBL92472,P30556,14971702
CHEMBL344811,P30556,10485202
CHEMBL93886,P30556,14971710
CHEMBL265012,P30556,44328335
CHEMBL321367,P30556,9874086
CHEMBL120457,P30556,14971717
CHEMBL98453,P30556,10350378
CHEMBL329858,P30556,10009478
CHEMBL338740,P30556,10369813
CHEMBL344407,P30556,9824776
CHEMBL259843,P30556,15292113
CHEMBL319353,P30556,10349801
CHEMBL321363,P30556,10417431
CHEMBL122224,P30556,18950608
CHEMBL330463,P30556,10032361
CHEMBL70100,P30556,19430458
CHEMBL419483,P30556,14956763
CHEMBL409058,P30556,9986299
CHEMBL122017,P30556,18950586
CHEMBL97557,P30556,10349392
CHEMBL94002,P30556,14971701
CHEMBL19018,P30556,14956757
CHEMBL74069,P30556,44311183
CHEMBL333800,P30556,14971708
CHEMBL74514,P30556,44311735
CHEMBL94910,P30556,10483726
CHEMBL306435,P30556,44311538
CHEMBL335722,P30556,10393717
CHEMBL329759,P30556,10416501
CHEMBL337086,P30556,9914666
CHEMBL449648,P30556,44310586
CHEMBL278977,P30556,44272247
CHEMBL327563,P30556,10483888
CHEMBL278305,P30556,44272246
CHEMBL97688,P30556,44328164
CHEMBL338687,P30556,10078554
CHEMBL97464,P30556,10010125
CHEMBL25315,P30556,44275096
CHEMBL98426,P30556,44328044
CHEMBL323506,P30556,10259265
CHEMBL305647,P30556,44314761
CHEMBL344467,P30556,10394712
CHEMBL87074,P30556,14956739
CHEMBL169009,P30556,44381528
CHEMBL415073,P30556,44314823
Diprop-drop-phac acid,P30556,192626
CHEMBL283495,P30556,44277573
CHEMBL39379,P30556,44285267
CHEMBL302959,P30556,44311635
CHEMBL313371,P30556,10140613
CHEMBL287184,P30556,44274731
CHEMBL28464,P30556,44277871
CHEMBL140619,P30556,10484866
CHEMBL176473,P30556,44385182
"3-Pcpepm-5,7-deip",P30556,192567
CHEMBL421478,P30556,10372550
CHEMBL312913,P30556,14956772
CHEMBL314812,P30556,9830839
CHEMBL168771,P30556,44381739
"3-Tcim-5,7-deip",P30556,192345
CHEMBL308482,P30556,44311071
CHEMBL25056,P30556,44274854
L 158338,P30556,3036053
CHEMBL294512,P30556,9851082
CHEMBL317864,P30556,10417031
CHEMBL286134,P30556,15818748
CHEMBL306761,P30556,44311754
CHEMBL39996,P30556,9850811
CHEMBL139582,P30556,10055448
CHEMBL337006,P30556,10326140
CHEMBL329255,P30556,10439253
L1415_SIGMA,P30556,6603900
CHEMBL94582,P30556,10054188
CHEMBL282167,P30556,44277676
CHEMBL422756,P30556,9955424
CHEMBL262296,P30556,44328289
CHEMBL26217,P30556,44274692
CHEMBL330170,P30556,10348847
CHEMBL354298,P30556,44381670
Dup 532,P30556,60770
CHEMBL432822,P30556,10484119
CHEMBL121891,P30556,18950598
CHEMBL282168,P30556,44277677
CID 9869504,P30556,9869504
CHEMBL306362,P30556,44314822
CHEMBL314514,P30556,10078048
CHEMBL95955,P30556,9986951
CHEMBL28532,P30556,44277902
CHEMBL94221,P30556,14971700
CHEMBL93606,P30556,10077929
CHEMBL433375,P30556,10372341
CHEMBL24724,P30556,44274673
CHEMBL408798,P30556,10009735
CHEMBL97897,P30556,10326460
CHEMBL290214,P30556,9852384
CHEMBL352236,P30556,10099040
CHEMBL431411,P30556,44320012
CHEMBL449095,P30556,15236320
44372993,P30556,44372993
CHEMBL337588,P30556,9987311
CHEMBL275160,P30556,10054324
CHEMBL263191,P30556,44315144
CHEMBL408799,P30556,44211672
CHEMBL302102,P30556,9851889
CHEMBL98126,P30556,10438523
CHEMBL57976,P30556,44300838
CHEMBL39959,P30556,9850834
CHEMBL157577,P30556,10481968
CHEMBL273542,P30556,10327728
CHEMBL311160,P30556,44315351
CHEMBL280526,P30556,44274823
CHEMBL316297,P30556,10233056
CHEMBL341715,P30556,10484986
CHEMBL24861,P30556,15231091
CHEMBL280908,P30556,44277903
CHEMBL333978,P30556,14971719
CHEMBL274710,P30556,11764826
CHEMBL92950,P30556,10390188
CHEMBL93547,P30556,14971707
CHEMBL165349,P30556,44377199
CHEMBL347610,P30556,9801006
CHEMBL29386,P30556,44277451
CHEMBL28917,P30556,44277442
CHEMBL287250,P30556,44283174
CHEMBL432734,P30556,44310589
CHEMBL123767,P30556,14971711
CHEMBL330007,P30556,10100074
CHEMBL87964,P30556,9845644
SC 51316,P30556,131654
CHEMBL86314,P30556,14956781
CHEMBL339806,P30556,10010164
CHEMBL138654,P30556,10258916
CHEMBL28555,P30556,44277652
CHEMBL125760,P30556,10394859
CHEMBL59957,P30556,44303230
CHEMBL348758,P30556,44376746
CHEMBL74556,P30556,44315078
CHEMBL432271,P30556,44459835
CHEMBL87513,P30556,14956756
CHEMBL309165,P30556,15222092
CHEMBL93956,P30556,10077555
CHEMBL304620,P30556,44311662
CHEMBL306961,P30556,44311681
CHEMBL306489,P30556,15222094
CHEMBL303426,P30556,15222070
CHEMBL309367,P30556,44311451
CHEMBL70796,P30556,44311663
CHEMBL71953,P30556,44311499
CHEMBL72721,P30556,44311648
CHEMBL73780,P30556,44311758
CHEMBL70353,P30556,44311583
CHEMBL432847,P30556,44459654
CHEMBL430997,P30556,44311497
CHEMBL281846,P30556,44274824
CHEMBL24478,P30556,44459655
CHEMBL24319,P30556,44459871
CHEMBL24053,P30556,44274672
CHEMBL165354,P30556,19742811
CHEMBL283975,P30556,14971712
CHEMBL24224,P30556,20081627
CHEMBL289105,P30556,44285372
CHEMBL19202,P30556,14956779
CHEMBL334192,P30556,14971638
CHEMBL431619,P30556,10393837
CHEMBL15729,P30556,18950607
CHEMBL281890,P30556,44277461
CHEMBL282777,P30556,44277548
CHEMBL58156,P30556,19802473
CHEMBL29192,P30556,44277737
CHEMBL330571,P30556,14971699
CHEMBL266480,P30556,44278118
CHEMBL18287,P30556,9935106
CHEMBL344466,P30556,10101582
CHEMBL28918,P30556,44277443
CHEMBL97615,P30556,10349506
CHEMBL121416,P30556,14971709
CHEMBL28816,P30556,44277738
CHEMBL97271,P30556,44328131
CHEMBL98140,P30556,10054753
CHEMBL163486,P30556,44376780
CHEMBL18606,P30556,11764669
CHEMBL29722,P30556,44277901
CHEMBL93522,P30556,10479983
CHEMBL431887,P30556,14971713
CHEMBL97812,P30556,10349029
Exp3174,P30556,108185
CHEMBL29654,P30556,44277463
CHEMBL332239,P30556,44348408
CHEMBL281453,P30556,44277547
CHEMBL317368,P30556,10372723
CHEMBL96552,P30556,9826888
CHEMBL93159,P30556,10004498
CHEMBL87239,P30556,10298977
CHEMBL349389,P30556,44377261
CHEMBL79242,P30556,44316916
CHEMBL327982,P30556,14971697
CHEMBL274712,P30556,10055096
CHEMBL304137,P30556,44311739
CHEMBL95198,P30556,10233073
CHEMBL284140,P30556,44459656
CHEMBL70793,P30556,44311436
CHEMBL306923,P30556,44311775
CHEMBL39352,P30556,44210864
CHEMBL306924,P30556,44311776
CHEMBL290614,P30556,11502835
CHEMBL26548,P30556,44274716
CHEMBL306216,P30556,44311498
CHEMBL290180,P30556,44285178
CHEMBL24266,P30556,20081616
CHEMBL345459,P30556,11756787
CHEMBL307866,P30556,44311755
CHEMBL83194,P30556,14956814
CHEMBL313025,P30556,14956761
CHEMBL315878,P30556,14971703
CHEMBL87057,P30556,14956778
CHEMBL29658,P30556,44277936
CHEMBL321086,P30556,44328261
CHEMBL345570,P30556,10053126
CHEMBL432392,P30556,10439275
CHEMBL429058,P30556,10482937
CHEMBL317061,P30556,10078452
